type,marketsegment0,marketsegment1,marketsegment2,marketsegment3,mapping_reason
Tibetan restaurant,horeca,table_service,traditional_dining,,table_traditional
Tofu restaurant,horeca,table_service,traditional_dining,,table_traditional
Tongue restaurant,horeca,table_service,traditional_dining,,table_traditional
Tonkatsu restaurant,horeca,table_service,traditional_dining,,table_traditional
Traditional American restaurant,horeca,table_service,traditional_dining,,table_traditional
Traditional restaurant,horeca,table_service,traditional_dining,,table_traditional
Tunisian restaurant,horeca,table_service,traditional_dining,,table_traditional
Turkish restaurant,horeca,table_service,themed_dining_other_specialties,,table_other_specialties
Turkmen restaurant,horeca,table_service,traditional_dining,,table_traditional
Tuscan restaurant,horeca,table_service,traditional_dining,,table_traditional
Udon noodle restaurant,horeca,table_service,traditional_dining,,table_traditional
Ukrainian restaurant,horeca,table_service,traditional_dining,,table_traditional
Unagi restaurant,horeca,table_service,traditional_dining,,table_traditional
Uruguayan restaurant,horeca,table_service,traditional_dining,,table_traditional
Uzbeki restaurant,horeca,table_service,traditional_dining,,table_traditional
Valencian restaurant,horeca,table_service,traditional_dining,,table_traditional
Vegan restaurant,horeca,table_service,traditional_dining,,table_traditional
Vegetarian cafe and deli,horeca,fast_food,coffee_shops_ice_cream_parlors_kiosks,,ff_coffee_icecream_kiosk
Vegetarian restaurant,horeca,table_service,traditional_dining,,table_traditional
Venetian restaurant,horeca,table_service,traditional_dining,,table_traditional
Venezuelan restaurant,horeca,table_service,traditional_dining,,table_traditional
Vietnamese restaurant,horeca,table_service,themed_dining_asian,,table_asian
Water park,leisure,on_site_catering_events,leisure_sites,amusement_recreation,leisure_amusement
Wellness hotel,horeca,hotel_lodging,hotels,,lodging_hotel
Welsh restaurant,horeca,table_service,traditional_dining,,table_traditional
West African restaurant,horeca,table_service,themed_dining_other_specialties,,table_other_specialties
Western restaurant,horeca,table_service,traditional_dining,,table_traditional
Wildlife and safari park,,,,,
Wine bar,horeca,cafes_bars_discotheques,wine_tapas_bars,,bar_wine_tapas
Winery,,,,,
Wok restaurant,horeca,table_service,traditional_dining,,table_traditional
Yakiniku restaurant,horeca,table_service,traditional_dining,,table_traditional
Yakisoba Restaurant,horeca,table_service,traditional_dining,,table_traditional
Yakitori restaurant,horeca,table_service,traditional_dining,,table_traditional
Yemenite restaurant,horeca,table_service,traditional_dining,,table_traditional
Yucatan restaurant,horeca,table_service,traditional_dining,,table_traditional
Zhejiang restaurant,horeca,table_service,traditional_dining,,table_traditional
Zoo,leisure,on_site_catering_events,leisure_sites,zoo_farm_garden,leisure_zoo_farm_garden
